"filename", "language", "Python", "Markdown", "YAML", "HTML", "pip requirements", "Docker", "Shell Script", "Properties", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "XML", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\filters.py", "Python", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25, 181
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\health.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\media.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\routes\moderation.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\schemas.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\filter\utils.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 66
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\loki-config.yaml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\notifications-bot\Dockerfile", "Docker", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\notifications-bot\main.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 136
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\notifications-bot\requirements.txt", "pip requirements", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser.py", "Python", 1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 275, 1714
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\Dockerfile", "Docker", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 21
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\[DEPRECATED]state.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 100
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\activity_monitor.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\config_loader.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\db_models.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\entities.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 1, 177
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\export_entities_to_csv.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\floodwait_manager.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
